Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_116_691,VPWR,li1,358.1100,359.0400,1.799678
FILLER_116_685,VPWR,li1,356.5000,359.0400,1.799678
FILLER_116_673,VPWR,li1,352.3600,359.0400,1.799678
FILLER_116_669,VPWR,li1,348.4500,359.0400,1.799678
FILLER_116_657,VPWR,li1,345.0000,359.0400,1.799678
FILLER_116_645,VPWR,li1,339.4800,359.0400,1.799678
FILLER_116_641,VPWR,li1,335.5700,359.0400,1.799678
FILLER_116_633,VPWR,li1,333.0400,359.0400,1.799678
FILLER_116_621,VPWR,li1,328.4400,359.0400,1.799678
FILLER_116_610,VPWR,li1,322.0000,359.0400,1.799678
FILLER_116_604,VPWR,li1,318.5500,359.0400,1.799678
FILLER_116_596,VPWR,li1,316.0200,359.0400,1.799678
FILLER_116_589,VPWR,li1,311.8800,359.0400,1.799678
FILLER_116_586,VPWR,li1,310.0400,359.0400,1.799678
FILLER_116_569,VPWR,li1,302.4500,359.0400,1.799679
FILLER_116_559,VPWR,li1,297.3900,359.0400,1.799679
FILLER_116_555,VPWR,li1,296.2400,359.0400,1.799679
FILLER_116_550,VPWR,li1,293.2500,359.0400,1.799680
FILLER_116_533,VPWR,li1,286.1200,359.0400,1.799681
FILLER_116_529,VPWR,li1,284.0500,359.0400,1.799681
FILLER_116_517,VPWR,li1,280.6000,359.0400,1.799682
FILLER_116_505,VPWR,li1,275.0800,359.0400,1.799683
FILLER_116_501,VPWR,li1,271.1700,359.0400,1.799683
FILLER_116_489,VPWR,li1,267.7200,359.0400,1.799684
FILLER_116_477,VPWR,li1,262.2000,359.0400,1.799685
FILLER_116_473,VPWR,li1,258.2900,359.0400,1.799686
FILLER_116_461,VPWR,li1,254.8400,359.0400,1.799686
FILLER_116_449,VPWR,li1,249.3200,359.0400,1.799687
FILLER_116_447,VPWR,li1,245.8700,359.0400,1.799688
FILLER_116_435,VPWR,li1,242.8800,359.0400,1.799688
FILLER_116_429,VPWR,li1,238.0500,359.0400,1.799689
FILLER_116_421,VPWR,li1,234.6000,359.0400,1.799690
FILLER_116_412,VPWR,li1,231.3800,359.0400,1.799690
FILLER_116_400,VPWR,li1,226.7800,359.0400,1.799691
FILLER_116_396,VPWR,li1,222.4100,359.0400,1.799693
FILLER_116_389,VPWR,li1,219.6500,359.0400,1.799693
FILLER_116_382,VPWR,li1,215.9700,359.0400,1.799703
FILLER_116_375,VPWR,li1,212.7500,359.0400,1.799724
FILLER_116_365,VPWR,li1,208.8400,359.0400,1.799750
FILLER_116_349,VPWR,li1,201.2500,359.0400,1.799668
FILLER_116_333,VPWR,li1,193.8900,359.0400,1.799614
FILLER_116_319,VPWR,li1,187.6800,359.0400,1.799585
FILLER_116_309,VPWR,li1,183.0800,359.0400,1.799569
FILLER_116_305,VPWR,li1,181.0100,359.0400,1.799563
FILLER_116_298,VPWR,li1,177.3300,359.0400,1.799554
FILLER_116_294,VPWR,li1,176.1800,359.0400,1.799554
FILLER_116_278,VPWR,li1,168.3600,359.0400,1.799550
